,,,,,,,,,,,,
,blade_name,code,brand,class,Speed,control,weight,plies,thickness,handle,combo price,price
,Juic Titanium II Allround,SJTIA,Juic,ALL+,79,70,81,"5w, 2t",5.3,"FL, AN, ST",,$99.95
,Juic Titanium Turbo,SJTIT,Juic,OFF+,97,53,87,"5w, 2t",6.3,"FL, AN, ST",,$99.95
,Donic Persson Dotec OFF,SDPDO,Donic,OFF-,91,67,75,7w,7.4,"Left, Right",,$78.95
,Donic Waldner Dotec Carbon,SDWDC,Donic,OFF,93,66,85,"5w, 2c",7.5,"FL, AN, ST",,$92.95
,Donic Waldner Dotec AR,SDWDA,Donic,ALL+,81,76,70,7w,7.4,"Left, Right",,$72.95
,Donic Wang Xi Dotec Control Plus,SDXDP,Donic,ALL-,69,83,80,7w,5.9,"Left, Right, ST",,$71.95
,Donic Appelgren Dotec Control,SDADC,Donic,ALL+,79,76,70,7w,7.4,"Left, Right",,$65.95
,Nittaku Cellenty BALCA,SNCEB,Nittaku,OFF-,87,74,85,"5w, 2c",5.5,FL,,$49.95
,Nittaku Cellenty W07,SNCE7,Nittaku,OFF-,85,75,82,7w,6.2,"FL, ST",,$46.95
,Stiga CC 5,SSCC5,Stiga,OFF,85,62,96,"5w, 2c",5.4,"FL, ST",,$132.95
,Butterfly Timo Boll ZLC,SBTBC,Butterfly,OFF,94,61,85,"5w, 2c/z",5.5,FL,,$266.99
,Butterfly Timo Boll ZLF,SBTBZ,Butterfly,OFF,93,62,84,"3w, 2z",5.4,FL,,$226.99
,Butterfly Timo Boll W7,SBTBW,Butterfly,OFF,92,58,94,7w,6.7,FL,,$99.99
,Hunter Black Widow,SPBLA,Hunter,OFF+,96,59,90,"5w, 2g",6.5,"FL, AN, ST",$124.95,$64.95
,Hunter Power-Touch,SPPOW,Hunter,OFF,89,66,82,"5w, 2g",5.5,"FL, AN, ST",$108.95,$48.95
,Hunter Techno Power,SPTEC,Hunter,OFF+,96,59,88,"5w, 2c",6,FL,,$68.95
,Andro Super Core Cell OFF,SASOF,Andro,OFF,86,67,80,5w,5.6,"FL, AN, ST",,$34.95
